iter	Passed	Remaining
443	1243	1557
444	1246	1554
445	1249	1551
446	1252	1549
447	1254	1546
448	1257	1543
449	1260	1540
450	1263	1537
451	1265	1534
452	1268	1531
453	1271	1529
454	1274	1526
455	1276	1523
456	1279	1520
457	1282	1517
458	1285	1514
459	1287	1511
460	1290	1508
461	1293	1506
462	1296	1503
463	1298	1500
464	1301	1497
465	1304	1494
466	1306	1491
467	1309	1488
468	1312	1485
469	1315	1483
470	1318	1480
471	1321	1477
472	1323	1474
473	1326	1471
474	1329	1469
475	1331	1466
476	1334	1463
477	1337	1460
478	1340	1458
479	1343	1455
480	1346	1452
481	1348	1449
482	1351	1446
483	1354	1443
484	1357	1441
485	1359	1438
486	1362	1435
487	1365	1432
488	1367	1429
489	1370	1426
490	1373	1423
491	1375	1420
492	1378	1417
493	1381	1414
494	1383	1411
495	1386	1408
496	1389	1406
497	1391	1402
498	1394	1400
499	1397	1397
500	1399	1394
501	1402	1391
502	1404	1388
503	1407	1385
504	1410	1382
505	1413	1379
506	1416	1377
507	1419	1374
508	1421	1371
509	1424	1368
510	1426	1365
511	1429	1362
512	1432	1359
513	1435	1357
514	1438	1354
515	1440	1351
516	1443	1348
517	1446	1345
518	1449	1343
519	1451	1340
520	1454	1337
521	1457	1334
522	1460	1332
523	1463	1329
524	1466	1326
525	1469	1323
526	1471	1321
527	1474	1318
528	1477	1315
529	1480	1312
530	1482	1309
531	1485	1306
532	1488	1303
533	1490	1300
534	1493	1298
535	1496	1295
536	1498	1292
537	1501	1289
538	1504	1286
539	1507	1283
540	1509	1281
541	1512	1278
542	1515	1275
543	1518	1273
544	1522	1270
545	1525	1268
546	1528	1265
547	1531	1263
548	1535	1261
549	1539	1259
550	1542	1257
551	1546	1255
552	1550	1253
553	1554	1251
554	1558	1249
555	1563	1248
556	1567	1246
557	1571	1244
558	1575	1242
559	1579	1240
560	1583	1238
561	1586	1236
562	1590	1234
563	1594	1232
564	1598	1230
565	1603	1229
566	1607	1227
567	1612	1226
568	1616	1224
569	1620	1222
570	1624	1220
571	1628	1218
572	1633	1217
573	1638	1216
574	1642	1214
575	1646	1212
576	1651	1210
577	1655	1208
578	1659	1206
579	1663	1204
580	1668	1203
581	1672	1200
582	1676	1198
583	1680	1196
584	1684	1194
585	1688	1193
586	1692	1191
587	1697	1189
588	1701	1187
589	1705	1185
590	1710	1183
591	1715	1182
592	1720	1180
593	1725	1179
594	1731	1178
595	1735	1176
596	1740	1175
597	1744	1172
598	1749	1171
599	1753	1168
600	1756	1166
601	1759	1163
602	1763	1160
603	1766	1157
604	1769	1154
605	1772	1152
606	1775	1149
607	1777	1146
608	1780	1143
609	1783	1140
610	1786	1137
611	1789	1134
612	1792	1131
613	1794	1128
614	1797	1125
615	1800	1122
616	1803	1119
617	1807	1117
618	1810	1114
619	1813	1111
620	1817	1109
621	1820	1106
622	1824	1104
623	1828	1101
624	1831	1098
625	1835	1096
626	1839	1094
627	1843	1091
628	1847	1089
629	1851	1087
630	1854	1084
631	1859	1082
632	1863	1080
633	1867	1078
634	1871	1075
635	1875	1073
636	1879	1070
637	1883	1068
638	1887	1066
639	1891	1063
640	1895	1061
641	1898	1058
642	1903	1056
643	1906	1054
644	1910	1051
645	1914	1049
646	1918	1046
647	1922	1044
648	1926	1041
649	1930	1039
650	1934	1037
651	1938	1034
652	1942	1032
653	1946	1030
654	1951	1027
655	1955	1025
656	1958	1022
657	1962	1020
658	1966	1017
659	1970	1015
660	1974	1012
661	1978	1010
662	1982	1007
663	1986	1005
664	1990	1002
665	1994	1000
666	1998	997
667	2001	995
668	2005	992
669	2008	989
670	2011	986
671	2014	983
672	2017	980
673	2020	977
674	2023	974
675	2026	971
676	2029	968
677	2032	965
678	2035	962
679	2038	959
680	2041	956
681	2044	953
682	2046	949
683	2049	946
684	2052	943
685	2055	940
686	2057	937
687	2060	934
688	2063	931
689	2066	928
690	2069	925
691	2072	922
692	2075	919
693	2077	916
694	2080	913
695	2083	910
696	2086	907
697	2089	903
698	2092	900
699	2095	897
700	2098	894
701	2101	891
702	2104	888
703	2106	885
704	2109	882
705	2112	879
706	2115	876
707	2118	873
708	2121	870
709	2123	867
710	2126	864
711	2129	861
712	2131	858
713	2134	855
714	2137	852
715	2140	848
716	2143	845
717	2145	842
718	2148	839
719	2151	836
720	2153	833
721	2156	830
722	2159	827
723	2161	824
724	2164	821
725	2167	817
726	2169	814
727	2172	811
728	2175	808
729	2177	805
730	2180	802
731	2183	799
732	2186	796
733	2188	793
734	2191	790
735	2194	787
736	2197	784
737	2199	780
738	2202	777
739	2205	774
740	2207	771
741	2210	768
742	2213	765
743	2216	762
744	2218	759
745	2221	756
746	2224	753
747	2226	750
748	2229	747
749	2231	743
750	2234	740
751	2237	737
752	2239	734
753	2242	731
754	2245	728
755	2247	725
756	2250	722
757	2252	719
758	2255	716
759	2258	713
760	2260	710
761	2263	707
762	2266	703
763	2268	700
764	2271	697
765	2274	694
766	2276	691
767	2279	688
768	2282	685
769	2284	682
770	2287	679
771	2290	676
772	2292	673
773	2295	670
774	2298	667
775	2300	664
776	2303	661
777	2306	658
778	2308	655
779	2311	651
780	2314	648
781	2316	645
782	2319	642
783	2322	639
784	2324	636
785	2327	633
786	2330	630
787	2333	627
788	2335	624
789	2338	621
790	2341	618
791	2343	615
792	2346	612
793	2348	609
794	2351	606
795	2353	603
796	2356	600
797	2358	597
798	2361	593
799	2363	590
800	2366	587
801	2368	584
802	2371	581
803	2374	578
804	2376	575
805	2379	572
806	2382	569
807	2384	566
808	2387	563
809	2390	560
810	2393	557
811	2395	554
812	2398	551
813	2401	548
814	2403	545
815	2406	542
816	2408	539
817	2412	536
818	2415	533
819	2417	530
820	2421	527
821	2424	524
822	2427	522
823	2430	519
824	2434	516
825	2437	513
826	2440	510
827	2443	507
828	2447	504
829	2450	502
830	2454	499
831	2458	496
832	2461	493
833	2465	490
834	2468	487
835	2473	485
836	2476	482
837	2480	479
838	2484	476
